CT_NAME;CT_TYPE;CT_AUTHORS;CT_TITLE;CT_URL;CD_NOM;CT_SP_ID;URL_SP
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;653913;039B21B2FBF66021;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=039B21B2FBF66021
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;720198;861926AE5BBB6ECA;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=861926AE5BBB6ECA
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;720275;4405C73D00DCED42;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=4405C73D00DCED42
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3991;C68A31C1D11E7B5D;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=C68A31C1D11E7B5D
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;532691;E6518B9D5C802F2A;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=E6518B9D5C802F2A
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;528760;3E7F825D03C0DC3E;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=3E7F825D03C0DC3E
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;528761;68EDCC23F8128FA8;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=68EDCC23F8128FA8
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;532688;BE78E765F1DA8123;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=BE78E765F1DA8123
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;533083;C146593B82DA7327;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=C146593B82DA7327
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;534754;5F555FDD48DEAC1C;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=5F555FDD48DEAC1C
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;528811;7C15B36BB2B59CFF;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=7C15B36BB2B59CFF
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;532350;EB1EC6B4A15F95A0;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=EB1EC6B4A15F95A0
